job title,company name,date,location,skills,links
chat-bot Developer - India,Hakaya -,2 months ago,"New Delhi, India ",Full TimePart TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · chatbot · AI · Computer Science · English · Information Technology (IT) · Python · REST · Software Development,/jobs/p/ks5MVpVZAr5D-chat-bot-Developer---India-Hakaya-New-Delhi-India?o=120&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer,IT Systems Corporation -,2 months ago,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Linux · Information Technology (IT) · DevOps · Python · Apache,/jobs/p/fnaQf7I4B2aQ-DevOps-Engineer-IT-Systems-Corporation-Giza-Egypt?o=121&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Pan Marine Group -,2 months ago,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Engineering · Software Development · Information Technology (IT) · Computer Science · SQL · Python · javaScript,/jobs/p/eiCNWPs5U0hZ-Odoo-Developer-Pan-Marine-Group-Alexandria-Egypt?o=122&l=sp&t=sj&a=python|search-v3|hpb
Cloud Security Engineer,Softec Technologies -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Security · Software · Engineering · Software Development · Computer Engineering · Information Technology (IT) · Python,/jobs/p/uge2nTP9CkSg-Cloud-Security-Engineer-Softec-Technologies-Cairo-Egypt?o=123&l=sp&t=sj&a=python|search-v3|hpb
DevOps: Site Reliability Engineer/ Support Engineer.,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,/jobs/p/l590sAVfMMkv-DevOps-Site-Reliability-Engineer-Support-Engineer-Cegedim-Cairo-Egypt?o=124&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer.,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,/jobs/p/a4s02FZDWt5v-Senior-DevOps-Engineer-Cegedim-Cairo-Egypt?o=125&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,IT Systems Corporation -,2 months ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · Python · Computer Science · Development,/jobs/p/C1lUyCoWtcv3-Odoo-Developer-IT-Systems-Corporation-Giza-Egypt?o=126&l=sp&t=sj&a=python|search-v3|hpb
Technical Artist,Limbic Entertainment (Cairo Office) -,2 months ago,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Unreal Engine · Game development · Scripting · VFX · Autodesk Maya · Autodesk 3ds Max · Adobe Photoshop · Python,/jobs/p/SYnDg6kCjl2x-Technical-Artist-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=127&l=sp&t=sj&a=python|search-v3|hpb
Automation Test Engineer,Confidential -,2 months ago,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Ansible · AWS · Cloud · Computer Science · DevOps · Docker · Github,/jobs/p/FrhKHTu91bfB-Automation-Test-Engineer-Cairo-Egypt?o=128&l=sp&t=sj&a=python|search-v3|hpb
AWS Devops Engineer,Confidential -,2 months ago,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ansible · AWS · Cloud · Computer Science · DevOps · Docker · Github · Information Technology (IT),/jobs/p/53UllZWE0yAY-AWS-Devops-Engineer-Cairo-Egypt?o=129&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Contact -,2 months ago,"Downtown, Cairo, Egypt ",Full TimeEntry Level · 1 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Devops Engineer · engineer · Information Technology (IT) · Software Development · Git,/jobs/p/GzOKlnCUp7Ao-Devops-Engineer-Contact-Cairo-Egypt?o=130&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer,Confidential -,2 months ago,"6th of October, Giza, Egypt ","Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Tomcat, Apache, NGINX database administration Postgres, MS-SQL, MySQL, Oracle Microservices Docker, Docker-compose, Kubernetes Linux Ubuntu, Centos cloud AWS, DigitalOcean, Azure  virtualization VMware, Virtual Box, WSL Network TCP/IP Utilities Putty, MtP · Python · Docker · DNS · Database · SQL · Vmware · Azure",/jobs/p/R0enLkLr6zZK-DevOps-Engineer-Giza-Egypt?o=131&l=sp&t=sj&a=python|search-v3|hpb
Computer Vision Engineer,Beyond Apps Group -,2 months ago,"Nasr City, Cairo, Egypt ",InternshipEntry Level · IT/Software Development · Engineering - Telecom/Technology · Computer Vision · Engineering · OpenCV · Python · TensorFlow · Computer Science,/jobs/p/AK26akZzjSVi-Computer-Vision-Engineer-Beyond-Apps-Group-Cairo-Egypt?o=132&l=sp&t=sj&a=python|search-v3|hpb
Sr. VOIP Network Engineer,Target Recruitment  & HR Solutions  -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Networking · Information Technology (IT) · Computer Science · VoIP · SIP · PHP · Python Scripting,/jobs/p/ealeu6l5Bidw-Sr-VOIP-Network-Engineer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=133&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Confidential -,2 months ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · JavaScript · Odoo · PostgreSQL · Python · XML · jQuery · HTML,/jobs/p/OChzn3awSVCd-Odoo-Developer-Giza-Egypt?o=134&l=sp&t=sj&a=python|search-v3|hpb
Web Developer,MWG -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML · Information Technology (IT) · Java · JavaScript · NodeJS,/jobs/p/iHjJZt6vdxlk-Web-Developer-MWG-Cairo-Egypt?o=135&l=sp&t=sj&a=python|search-v3|hpb
System Engineer,Confidential -,1 day ago,"6th of October, Giza, Egypt ","Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Tomcat, Apache, NGINX database administration Postgres, MS-SQL, MySQL, Oracle Microservices Docker, Docker-compose, Kubernetes Linux Ubuntu, Centos cloud AWS, DigitalOcean, Azure  virtualization VMware, Virtual Box, WSL Network TCP/IP Utilities Putty, MtP · Python · Docker · DNS · Database · SQL · Vmware · Azure",/jobs/p/mgUS2LEpUwNz-System-Engineer-Giza-Egypt?o=136&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Synapse Analytics -,2 days ago,"Cairo, Egypt ","Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Kubernetes · Docker · IP, TCP, UDP · Linux · Git · DevOps · Cloud",/jobs/p/hm73VVLFrd33-Devops-Engineer-Synapse-Analytics-Cairo-Egypt?o=137&l=sp&t=sj&a=python|search-v3|hpb
System Analyst,360Imaging -,2 days ago,"Dokki, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · business · Business Analysis · Database · Computer Science · analytical · Information Technology (IT) · Software · Research,/jobs/p/RiXtmPr2xOQ8-System-Analyst-360Imaging-Giza-Egypt?o=138&l=sp&t=sj&a=python|search-v3|hpb
Senior Odoo Developer,Blue Ribbon -,5 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · Computer Science · CSS · Git · HTML · JavaScript,/jobs/p/ebPXWz8UUYlY-Senior-Odoo-Developer-Blue-Ribbon-Cairo-Egypt?o=139&l=sp&t=sj&a=python|search-v3|hpb
TSS / Care Engineer Lead,Viavi Solutions -,5 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical support engineer · Technical Support · Support engineer · Support · Computer Science · Computer Engineering · IT,/jobs/p/nqEJw5Rwx622-TSS-Care-Engineer-Lead-Viavi-Solutions-Cairo-Egypt?o=140&l=sp&t=sj&a=python|search-v3|hpb
Data Analyst,BBI-Consultancy -,7 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Banking · IT/Software Development · Information Technology (IT) · Hive · Spark · SAP BO · Cloudera · Oracle · Informatica Power Center,/jobs/p/zE2d6ffNG1In-Data-Analyst-BBI-Consultancy-Cairo-Egypt?o=141&l=sp&t=sj&a=python|search-v3|hpb
Programming / Computer Science Instructor for Students,Edu-Zone -,4 days ago,"Cairo, Egypt ",Full TimePart TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Software Development · Software Engineering · Java Software Development · Android Software · Computer Science · Computer Engineering · Computer Systems,/jobs/p/sVj5VT6yHtPz-Programming-Computer-Science-Instructor-for-Students-Edu-Zone-Cairo-Egypt?o=142&l=sp&t=sj&a=python|search-v3|hpb
Open Source Database Team Lead - Giza,e-finance -,2 months ago,"6th of October, Giza, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · SQL · Unix/Linux · Unix · MySQL · NoSQL · Computer Engineering · Computer Science,/jobs/p/Go3Z9UNFv5Ye-Open-Source-Database-Team-Lead---Giza-e-finance-Giza-Egypt?o=143&l=sp&t=sj&a=python|search-v3|hpb
Software Quality Assurance Team leader,ZINAD IT -,24 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Automation · Software · Information Technology (IT) · Software Testing · Quality Control · JavaScript,/jobs/p/gDh4xUw7H74k-Software-Quality-Assurance-Team-leader-ZINAD-IT-Giza-Egypt?o=144&l=sp&t=sj&a=python|search-v3|hpb
Back End Software Developer,Zewail City -,11 days ago,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Back End · Engineering · CSS · Front end · Information Technology (IT) · HTML,/jobs/p/vH5TBwryc2Jo-Back-End-Software-Developer-Zewail-City-Giza-Egypt?o=145&l=sp&t=sj&a=python|search-v3|hpb
Senior RPA Developer (UiPath),Tafeel -,12 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Agile · RPA · .netcore · c# · java · sql · Software Development,/jobs/p/Lxm2FKO4BZ8X-Senior-RPA-Developer-UiPath-Tafeel-Cairo-Egypt?o=146&l=sp&t=sj&a=python|search-v3|hpb
Front End Web Developer,RAQAMYAT -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Computer Science · CSS · CSS3 · Angular · Engineering · Git · HTML,/jobs/p/ZHLMBfI9rFWe-Front-End-Web-Developer-RAQAMYAT-Cairo-Egypt?o=147&l=sp&t=sj&a=python|search-v3|hpb
Automation Test Engineer,Sceel.io -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Automation Testing · Automation · Computer Science · English · Information Technology (IT) · System Testing,/jobs/p/0hobAOFZd3P7-Automation-Test-Engineer-Sceel-io-Cairo-Egypt?o=148&l=sp&t=sj&a=python|search-v3|hpb
Content Writer,Perfect Presentation -,25 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Writing · media · Marketing · Social Media,/jobs/p/KQvtPoRLRoSu-Content-Writer-Perfect-Presentation-Giza-Egypt?o=149&l=sp&t=sj&a=python|search-v3|hpb
Software Development Team Manager,International Advanced  -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · Information Technology (IT) · Software Development · Software Engineering · CSS,/jobs/p/GbBv4cibq5F1-Software-Development-Team-Manager-International-Advanced-Cairo-Egypt?o=150&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,Paymob Solutions -,8 days ago,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CI/CD · AWS · Computer Science · Docker · Engineering · Information Technology (IT) · Networking · Software Development,/jobs/p/2ts1ocxlUGEz-Senior-DevOps-Engineer-Paymob-Solutions-Cairo-Egypt?o=151&l=sp&t=sj&a=python|search-v3|hpb
React Front End Web Developer - (Alexandria),Procrew -,10 days ago,"Alexandria, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · React · JSON · Software Development · JavaScript · Testing · Information Technology (IT) · Computer Science,/jobs/p/60oWVgoxh2fZ-React-Front-End-Web-Developer---Alexandria-Procrew-Alexandria-Egypt?o=152&l=sp&t=sj&a=python|search-v3|hpb
Technical Writer,Perfect Presentation -,10 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Writing/Editorial · IT/Software Development · Technical Writing · Writing · Computer Science · Information Technology (IT) · CSS · Git · HTML · JavaScript,/jobs/p/8UXl7SJgCdy0-Technical-Writer-Perfect-Presentation-Giza-Egypt?o=153&l=sp&t=sj&a=python|search-v3|hpb
Robotics Hardware Engineer,Icity -,11 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Analog · Computer Hardware · Design · EMC · Engineering · Digital · Manufacturing · PCB · configurations,/jobs/p/sExR2SPdbhfJ-Robotics-Hardware-Engineer-Icity-Cairo-Egypt?o=154&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Developer,SEOS7 -,29 days ago,"6th of October, Giza, Egypt ",Work From HomeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · JavaScript · PHP · CSS · HTML · MySQL · jQuery · Information Technology (IT),/jobs/p/r2M8RcCwlqfg-Full-Stack-Developer-SEOS7-Giza-Egypt?o=155&l=sp&t=sj&a=python|search-v3|hpb
Senior IoT Engineer,Icity -,12 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IOT · Communication · Embedded Systems · Computer Science · Development · Engineering · Information Technology (IT) · Software,/jobs/p/c3MHkOc7CAsG-Senior-IoT-Engineer-Icity-Cairo-Egypt?o=156&l=sp&t=sj&a=python|search-v3|hpb
Regular C++ Test Automation Engineer - Cairo,Luxoft (A DXC Technology Company) -,16 days ago,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · Automation · Testing · QA Automation · Agile · Computer Engineering · Computer Science · Information Technology (IT),/jobs/p/LaV6yauNFbUc-Regular-C-Test-Automation-Engineer---Cairo-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=157&l=sp&t=sj&a=python|search-v3|hpb
Technical Lead (Back End),LxT -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeManager · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Cloud · Docker · Engineering · Git · Programming · Software Development,/jobs/p/H6v2BSpbvBJW-Technical-Lead-Back-End-LxT-Giza-Egypt?o=158&l=sp&t=sj&a=python|search-v3|hpb
Software Tester,Confidential -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Data Warehouse · Data Warehousing · Agile · Quality Control · Software Testing · Quality Assurance · quality,/jobs/p/cqJwHOfdw8Dl-Software-Tester-Cairo-Egypt?o=159&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Developer,Egyptian Medical Syndicates Union -,1 month ago,"Garden City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · backend · Java · Linux · Programming · JavaScript,/jobs/p/d4bzQ5cHDFTh-Full-Stack-Developer-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=160&l=sp&t=sj&a=python|search-v3|hpb
Senior Technical Support Engineer,Viavi Solutions -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical support engineer · Technical Support · Support engineer · Support · Computer Science · Computer Engineering · IT,/jobs/p/c5SYjigoBVo1-Senior-Technical-Support-Engineer-Viavi-Solutions-Cairo-Egypt?o=161&l=sp&t=sj&a=python|search-v3|hpb
Security Engineer – Data & Analytics (Work From Home),SSC Egypt -,1 month ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Analytics · Engineering · Data · Information Technology (IT) · Security · CISA,/jobs/p/iqeZWv0TT6TG-Security-Engineer-–-Data-Analytics-Work-From-Home-SSC-Egypt-Cairo-Egypt?o=162&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer,HOLOULYIT -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Software Development · Computer Science · Information Technology (IT) · Software Engineering · Bugs · Writing · Software engineer,/jobs/p/pzBfUcMWnIvb-Senior-Backend-Developer-HOLOULYIT-Cairo-Egypt?o=163&l=sp&t=sj&a=python|search-v3|hpb
IT Application Development and Support Engineer,American International School -,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Software Development · Information Technology (IT) · Software Engineering,/jobs/p/UUkS9bHLx0od-IT-Application-Development-and-Support-Engineer-American-International-School-Giza-Egypt?o=164&l=sp&t=sj&a=python|search-v3|hpb
Backend Developer,Paymint -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · HTML5 · PHP · Software Development · CSS · JavaScript · DevOps · Information Technology (IT),/jobs/p/W0YtVdgoVtlq-Backend-Developer-Paymint-Cairo-Egypt?o=165&l=sp&t=sj&a=python|search-v3|hpb
GIS Technical Writer,Confidential -,2 months ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · Writing/Editorial · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Java · Software · Writing · Technical Writing · Computer Science · Documentation,/jobs/p/LPd30ZLHiqKU-GIS-Technical-Writer-Cairo-Egypt?o=166&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Agile Technologies  -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeShift BasedExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · DevOps · Information Technology (IT) · Programming · Systems · IT · SQL · Computer Science,/jobs/p/2ucee90lRVwo-Devops-Engineer-Agile-Technologies-Cairo-Egypt?o=167&l=sp&t=sj&a=python|search-v3|hpb
DevOps/ProdOPS Engineer.,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · DevOps · ProdOPS · Gradle · Git · Openshift,/jobs/p/i0D3wtlw5vRn-DevOpsProdOPS-Engineer-Cegedim-Cairo-Egypt?o=168&l=sp&t=sj&a=python|search-v3|hpb
Unity Instructor,iSchool -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimePart TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Software Engineering · Coding · Ed-tech · Steam · Stem · STEAM,/jobs/p/TM2YYOkZs7O8-Unity-Instructor-iSchool-Cairo-Egypt?o=169&l=sp&t=sj&a=python|search-v3|hpb
Coding Coach,iSchool -,2 months ago,"Nasr City, Cairo, Egypt ",Part TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Training/Instructor · Computer Science · Software Engineering · Coding · Ed-tech · Steam · Stem · STEAM · STEM,/jobs/p/8lqSBkNL3h9r-Coding-Coach-iSchool-Cairo-Egypt?o=170&l=sp&t=sj&a=python|search-v3|hpb
Senior Angular Engineer,Evolvice GmbH -,2 months ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · English · Frontend · Computer Science · Information Technology (IT) · Software Development,/jobs/p/wPxKhG6oK1BV-Senior-Angular-Engineer-Evolvice-GmbH-Cairo-Egypt?o=171&l=sp&t=sj&a=python|search-v3|hpb
Web Developer,LavaLoon -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · WordPress · Information Technology (IT) · Software Development · Software Engineering · English · Computer Science · Configuration,/jobs/p/BR1asOhMsI15-Web-Developer-LavaLoon-Cairo-Egypt?o=172&l=sp&t=sj&a=python|search-v3|hpb
Senior RPA Developer,Centro CDX -,2 months ago,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RPA · Roboticprocessautomation · Automation · UiPath · Information Technology (IT) · Agile · APIs · .net core,/jobs/p/OjaDd60jT87n-Senior-RPA-Developer-Centro-CDX-Cairo-Egypt?o=173&l=sp&t=sj&a=python|search-v3|hpb
Development Team Leader,Bevatel -,2 months ago,"Dokki, Giza, Egypt ",Full TimeManager · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML · PHP · JavaScript · MySQL · Laravel · market search,/jobs/p/kzi9uQHz1rmJ-Development-Team-Leader-Bevatel-Giza-Egypt?o=174&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Developer (.Net Core & Angular),SmartTech Systems -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Angular · ASP.Net · Information Technology (IT) · Software Development · Web Development · SQL · JavaScript,/jobs/p/t4SPolI52vZZ-Full-Stack-Developer-Net-Core-Angular-SmartTech-Systems-Cairo-Egypt?o=175&l=sp&t=sj&a=python|search-v3|hpb
Sr. DevOps Engineer - Jordan,Confidential -,2 months ago,"Amman, Jordan ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Software Development · Operations Management · Full Stack Development,/jobs/p/oJwYcBXPBOPM-Sr-DevOps-Engineer---Jordan-Amman-Jordan?o=176&l=sp&t=sj&a=python|search-v3|hpb
DevOps Operations Specialist,B.TECH -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Logistics · Computer Science · Infrastructure · Networking · ERP · IT · Operations,/jobs/p/NHWwQiJ9KIh6-DevOps-Operations-Specialist-B-TECH-Cairo-Egypt?o=177&l=sp&t=sj&a=python|search-v3|hpb
DevOps Operations Manager,B.TECH -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Operations/Management · Operations · Computer Science · Agile · IT · Management · infrastucture · Data Center Management,/jobs/p/6hbifyWvX3FJ-DevOps-Operations-Manager-B-TECH-Cairo-Egypt?o=178&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Web Developer - For Multinational,Popul8IT -,2 months ago,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · javaScript · English · Design · Programming · Web · Testing · UX,/jobs/p/uUqLVpMM3y6O-Full-Stack-Web-Developer---For-Multinational-Popul8IT-Cairo-Egypt?o=179&l=sp&t=sj&a=python|search-v3|hpb
